Part Name,Color,Quantity,Part ID,Color Code
"Brick  1 x  2","White",1,3004.dat,15
"Brick  1 x  2","Light Bluish Grey",1,3004.dat,71
"Tile  2 x  2 with Groove","Light Bluish Grey",2,3068b.dat,71
"Brick  1 x  1","Dark Bluish Grey",4,3005.dat,72
"Brick  1 x  1 Round with Hollow Stud","Black",3,3062b.dat,0
"Brick  1 x  1 Round with Hollow Stud","Light Bluish Grey",2,3062b.dat,71
"Slope Brick Curved Top  2 x  2 x  1","Dark Red",1,30602.dat,320
"Plate  1 x  1","Black",2,3024.dat,0
"Plate  1 x  1","Dark Red",6,3024.dat,320
"Plate  2 x  2","Light Bluish Grey",2,3022.dat,71
"Plate  2 x  2 with Pin Type 1","Light Bluish Grey",1,2476.dat,71
"Plate  1 x  2","Black",5,3023.dat,0
"Plate  1 x  2","Dark Bluish Grey",2,3023.dat,72
"Plate  1 x  2 with Handle","Black",2,2540.dat,0
"Dish  2 x  2","Light Bluish Grey",2,2654.dat,71
"Plate  1 x  2 with Door Rail","Light Bluish Grey",4,32028.dat,71
"Slope Brick 33  2 x  2 Double","Dark Bluish Grey",2,3300.dat,72
"Slope Brick 45  2 x  2 Inverted","Black",1,3660.dat,0
"Plate  1 x  6","Dark Bluish Grey",4,3666.dat,72
"Slope Brick 45  2 x  2 Inverted Double Convex","Dark Bluish Grey",2,3676.dat,72
"Plate  1 x  2 with Handles Type 2","Light Bluish Grey",2,3839b.dat,71
"Plate  1 x  2 with Handles Type 2","Dark Bluish Grey",2,3839b.dat,72
"Hinge  1 x  2 Top","Light Bluish Grey",5,3938.dat,71
"Tile  2 x  2 Round with Cross Underside Stud","Pearl Gold",2,4150.dat,297
"Wing  2 x  4 Right","Light Bluish Grey",2,41769.dat,71
"Wing  2 x  4 Left","Light Bluish Grey",2,41770.dat,71
"Wedge  6 x  4 Triple Curved","Dark Bluish Grey",3,43712.dat,72
"Wing  2 x  3 Right","Dark Bluish Grey",2,43722.dat,72
"Wing  2 x  3 Left","Dark Bluish Grey",2,43723.dat,72
"Bracket  1 x  2 -  2 x  2","Black",2,44728.dat,0
"Bracket  1 x  2 -  2 x  2","Light Bluish Grey",4,44728.dat,71
"Cone  1 x  1","Black",1,4589.dat,0
"Cone  1 x  1","Pearl Gold",2,4589.dat,297
"Brick  1 x  2 x  0.667 with Studs on Sides","Black",6,4595.dat,0
"Brick  1 x  1 with Studs on Four Sides","Black",16,4733.dat,0
"Slope Brick 45  4 x  2 Double Inverted with Open Centre","Black",2,4871.dat,0
"Slope Brick 45  4 x  2 Double Inverted with Open Centre","Light Bluish Grey",1,4871.dat,71
"Slope Brick 45  4 x  2 Double Inverted with Open Centre","Dark Bluish Grey",6,4871.dat,72
"Slope Brick Curved  3 x  1","Light Bluish Grey",4,50950.dat,71
"Wing  2 x  4","Black",2,51739.dat,0
"Wing  2 x  4","Dark Bluish Grey",6,51739.dat,72
"Wing  2 x  4","Dark Red",3,51739.dat,320
"Minifig Ski 4L with Hinge","Dark Bluish Grey",4,6120.dat,72
"Technic Brick  1 x  1 with Hole","Black",4,6541.dat,0
"Tile  1 x  6","Dark Bluish Grey",8,6636.dat,72
"Hinge  1 x  2 Base","Dark Bluish Grey",3,3937.dat,72
"Plate  1 x  1 with Clip Light Type 2","Black",6,4081b.dat,0
"Plate  1 x  1 with Clip Light Type 2","Light Bluish Grey",2,4081b.dat,71
"Plate  1 x  1 Round","Black",14,4073.dat,0
"Plate  1 x  1 Round","Pearl Gold",2,4073.dat,297
"Tile  1 x  4 with Groove","Dark Bluish Grey",4,2431.dat,72
"Technic Pin with Friction and Slots","Black",1,2780.dat,0
"Tile  1 x  2 with Groove","Black",5,3069b.dat,0
"Tile  1 x  2 with Groove","Light Bluish Grey",3,3069b.dat,71
"Tile  1 x  1 with Groove","Black",2,3070b.dat,0
"Slope Brick 45  1 x  2 Double / Inverted without Centre Stud","Light Bluish Grey",14,3049c.dat,71
"Technic Beam  2 x  0.5 Liftarm","Black",30,41677.dat,0
"Hinge Tile  1 x  3 Locking with Single Finger on Top","Black",2,44300.dat,0
"Plate  1 x  2 with Handle Type 2","Black",8,48336.dat,0
"Plate  1 x  2 with Handle Type 2","Light Bluish Grey",7,48336.dat,71
"Plate  1 x  1 with Tooth In-line","Black",6,49668.dat,0
"Plate  1 x  1 with Tooth In-line","Dark Red",2,49668.dat,320
"Slope Brick 31  1 x  1 x  0.667","Black",4,54200.dat,0
"Slope Brick 31  1 x  1 x  0.667","Dark Bluish Grey",24,54200.dat,72
"Slope Brick 31  1 x  1 x  0.667","Pearl Gold",8,54200.dat,297
"Plate  1 x  2 with Handle on End","Black",14,60478.dat,0
"Plate  1 x  2 with Handle on End","Dark Bluish Grey",4,60478.dat,72
"Slope Brick Curved  4 x  1","Light Bluish Grey",4,61678.dat,71
"Bar  6L with Thick Stop","Black",1,63965.dat,0
"Technic Pneumatic T-Piece - Type 2","Light Bluish Grey",24,4697b.dat,71
"Brick  1 x  1 with Stud on 1 Side","Black",6,87087.dat,0
"Plate  2 x  2 with Groove with 1 Centre Stud","Black",1,87580.dat,0
"Plate  2 x  2 with Groove with 1 Centre Stud","Light Bluish Grey",4,87580.dat,71
"Wedge  6 x  4 Triple Curved Inverted","Dark Bluish Grey",1,43713.dat,72
"Wing  4 x  4 with  2 x  2 Cutout","Dark Red",1,43719.dat,320
"Wing  4 x  4 with  2 x  2 Cutout","Trans Green",5,43719.dat,34
"Wedge Plate  2 x 16 x  0.333 Triple with Axle Hole ","Light Bluish Grey",2,62743.dat,71
"Tile  1 x  3","Dark Bluish Grey",8,63864.dat,72
"Slope Brick 31  1 x  2 x  0.667","Black",2,85984.dat,0
"Slope Brick 31  1 x  2 x  0.667","White",1,85984.dat,15
"Slope Brick 31  1 x  2 x  0.667","Light Bluish Grey",8,85984.dat,71
"Slope Brick 31  1 x  2 x  0.667","Dark Bluish Grey",1,85984.dat,72
"Tile  2 x  4 with Groove","Light Bluish Grey",2,87079.dat,71
"Tile  2 x  4 with Groove","Dark Bluish Grey",2,87079.dat,72
"Slope Brick 18  4 x  1","Dark Bluish Grey",10,60477.dat,72
"Slope Brick Curved  1 x  8 with Plate  1 x  2","Dark Bluish Grey",2,85970.dat,72
"Slope Brick 33  3 x  2 Inverted with Ribs between Studs","Black",2,3747b.dat,0
"Wedge  4 x  3 Curved with  2 x  2 Cutout","Dark Bluish Grey",2,47755.dat,72
"Plate  1 x  4 with Two Studs ","Dark Bluish Grey",2,92593.dat,72
"Slope Plate 45  2 x  1","Black",2,92946.dat,0
"Slope Plate 45  2 x  1","Dark Bluish Grey",22,92946.dat,72
"Plate  1 x  2 with Groove with 1 Centre Stud","Black",2,3794b.dat,0
"Plate  1 x  2 with Groove with 1 Centre Stud","Dark Red",2,3794b.dat,320
"Tile  1 x  1 Round with Groove","Light Bluish Grey",12,98138.dat,71
"Tile  1 x  1 Round with Groove","Pearl Gold",4,98138.dat,297
"Bracket  1 x  2 -  1 x  2 Up","Black",2,99780.dat,0
"Tile  2 x  2 Inverted with Groove","Dark Bluish Grey",6,11203.dat,72
"Bracket  1 x  2 -  1 x  2 Down","Light Bluish Grey",2,99781.dat,71
"Slope Brick Curved  2 x  1","Light Bluish Grey",2,11477.dat,71
"Slope Brick Curved  2 x  1","Dark Bluish Grey",6,11477.dat,72
"Slope Brick Curved  4 x  1 Inverted","Black",4,13547.dat,0
"Plate  1 x  1 with Clip Horizontal (Thick C-Clip)","Black",4,61252.dat,0
"Plate  2 x  2 x  0.667 with Two Studs On Side and Two Raised","Black",4,99206.dat,0
"Tile  1 x  1 with Clip with Rounded Tips","Black",24,2555.dat,0
"Tile  1 x  1 with Clip with Rounded Tips","White",2,2555.dat,15
"Tile  1 x  1 with Clip with Rounded Tips","Light Bluish Grey",4,2555.dat,71
"Tile  1 x  1 with Clip with Rounded Tips","Dark Bluish Grey",4,2555.dat,72
"Plate  1 x  2 with  2 Clips Horizontal (Thick C-Clips)","Black",3,60470.dat,0
"Plate  1 x  2 with  2 Clips Horizontal (Thick C-Clips)","Light Bluish Grey",2,60470.dat,71
"Brick  1 x  1 with Clip Vertical (Thick C-Clip) and Hollow Stud","Dark Bluish Grey",2,30241.dat,72
"Plate  1 x  1 with Clip Vertical (Thick C-Clip)","Black",2,4085d.dat,0
"Plate  1 x  2 with Single Clip on Top","Black",6,92280.dat,0
"Slope Brick Curved  4 x  2 ","Light Bluish Grey",2,93606.dat,71
"Slope Brick Curved  2 x  2 x  0.667","Black",3,15068.dat,0
"Slope Brick Curved  2 x  2 x  0.667","Dark Bluish Grey",1,15068.dat,72
"Slope Brick 45  1 x  2 Triple","Light Bluish Grey",9,3048b.dat,71
"Slope Brick 45  3 x  1 Inverted Double without Inner Stopper Rings","Light Bluish Grey",2,2341.dat,71
"Bar  1.5L with Clip with Truncated Sides and Hole in Shaft","Black",8,48729b.dat,0
"Slope Brick 33  3 x  1 Inverted with Notch and Thick Front","Black",2,4287.dat,0
"Slope Brick 33  3 x  1 Inverted with Notch and Thick Front","Dark Bluish Grey",2,4287.dat,72
"Slope Brick 45  2 x  1 Inverted with Inner Stopper Ring","Dark Bluish Grey",6,3665.dat,72
"Hinge Plate  1 x  2 Locking with Dual Finger on End Vertical with Groove on Short Side","Black",4,44302a.dat,0
"Hinge Plate  1 x  2 Locking with Groove with Single Finger on End Vertical","Black",2,44301a.dat,0
